Constituency Name,Constituency Ainm,Count Number,Date Of Election,Number Of Candidates,Number of Seats,Quota,Required Save Deposit,Seats Filled,Seats in Constituency,Spoiled,Total Electorate,Total Poll,Valid Poll,Constituency Number
Carlow Kilkenny,Ceatharlach-Cill Chainnigh,11,26-02-2016,15,5,11669,2918,5,5,505,107023,70514,70009,1
Cavan Monaghan,An Cabhán-Muineachán,10,26-02-2016,15,4,11931,2983,4,4,598,90618,60248,59650,2
Clare,An Clár,12,26-02-2016,16,4,11401,2851,4,4,407,83660,57407,57000,3
Cork East,Corcaigh Thoir,10,26-02-2016,15,4,10562,2641,4,4,445,83236,53251,52806,4
Cork North Central,Corcaigh Thuaidh-Lár,11,26-02-2016,14,4,10235,2559,4,4,516,81609,51690,51174,5
Cork North West,Corcaigh Thiar Thuaidh,9,26-02-2016,13,3,11740,2936,3,3,395,67589,47353,46958,6
Cork South Central,Corcaigh Theas-Lár,11,26-02-2016,15,4,11137,2785,4,4,404,84482,56086,55682,7
Cork South West,Corcaigh Thiar Theas,5,26-02-2016,11,3,10815,2704,3,3,331,63583,43589,43258,8
Donegal,Dún na nGall,13,26-02-2016,16,5,12218,3055,5,5,654,117675,73957,73303,9
Dublin Bay North,Cuan Bhaile Átha Cliath Thuaidh,15,26-02-2016,20,5,12271,3068,5,5,709,109516,74334,73625,13
Dublin Bay South,Cuan Bhaile Átha Cliath Theas,8,26-02-2016,14,4,7941,1986,4,4,313,74326,40016,39703,17
Dublin Central,Baile Átha Cliath Láir,11,26-02-2016,15,3,5922,1481,3,3,304,46028,23990,23686,11
Dublin Fingal,Baile Átha Cliath - Fine Gall,10,26-02-2016,15,5,10065,2517,5,5,462,93486,60850,60388,14
Dublin Mid West,Baile Átha Cliath Thiar-Meán,12,26-02-2016,15,4,8621,2156,4,4,446,69388,43550,43104,643
Dublin North West,Baile Átha Cliath Thiar Thuaidh,9,26-02-2016,11,3,9253,2314,3,3,463,60406,37472,37009,15
Dublin Rathdown,Baile Átha Cliath-Ráth an Dúin,6,26-02-2016,9,3,10275,2569,3,3,226,62340,41325,41099,18
Dublin South Central,Baile Átha Cliath Theas-Lár,11,26-02-2016,13,4,8572,2144,4,4,694,74666,43551,42857,16
Dublin South West,Baile Átha Cliath Thiar Theas,16,26-02-2016,21,5,11212,2804,5,5,647,105420,67918,67271,19
Dublin West,Baile Átha Thiar,5,26-02-2016,11,4,8391,2098,4,4,320,64639,42272,41952,20
Dún Laoghaire,Dún Laoghaire,7,26-02-2016,11,3,14810,3703,3,4,401,92248,59639,59238,21
Galway East,Gaillimh Thoir,7,26-02-2016,10,3,11310,2828,3,3,379,68432,45617,45238,22
Galway West,Gaillimh Thiar,14,26-02-2016,20,5,10712,2678,5,5,488,103704,64759,64271,23
Kerry,Ciarraí,11,26-02-2016,16,5,13213,3304,5,5,476,112751,79749,79273,24
Kildare North,Cill Dara Thuaidh,9,26-02-2016,14,4,9788,2448,4,4,291,77609,49226,48935,26
Kildare South,Cill Dara Theas,6,26-02-2016,9,3,9197,2300,3,3,386,59162,37172,36786,187
Laois,Laois,3,26-02-2016,6,3,9718,2430,3,3,352,63295,39220,38868,27
Limerick City,Cathair Luimnigh,6,26-02-2016,11,4,9353,2339,4,4,357,75568,47118,46761,28
Limerick County,Contae Luimnigh,6,26-02-2016,10,3,11104,2777,3,3,336,67633,44748,44412,29
Longford Westmeath,An Longfort-An Iarmhí,15,26-02-2016,18,4,11050,2763,4,4,570,89241,55816,55246,30
Louth,Lú,11,26-02-2016,16,5,11255,2814,5,5,749,104696,68278,67529,31
Mayo,Maigh Eo,10,26-02-2016,16,4,12730,3183,4,4,600,92958,64246,63646,32
Meath East,An Mhí Thoir,9,26-02-2016,12,3,10348,2588,3,3,240,65588,41628,41388,34
Meath West,An Mhí Thiar,6,26-02-2016,9,3,9652,2414,3,3,315,64600,38920,38605,39
Offaly,Uíbh Fhailí,7,26-02-2016,11,3,11009,2753,3,3,411,65636,44445,44034,37
Roscommon Galway,Ros Comáin-Gaillimh,8,26-02-2016,12,3,11421,2856,3,3,315,64235,45995,45680,996
Sligo Leitrim,Sligeach-Liatroim,15,26-02-2016,18,4,12468,3118,4,4,560,95911,62895,62335,35
Tipperary,Tiobraid Árann,7,26-02-2016,13,5,12992,3249,5,5,646,112615,78594,77948,36
Waterford,Port  Lairge,9,26-02-2016,12,4,10341,2586,4,4,400,81819,52103,51703,38
Wexford,Loch Garman,14,26-02-2016,17,5,11944,2987,5,5,691,109861,72352,71661,40
Wicklow,Cill Mhantáin,10,26-02-2016,16,5,11468,2868,5,5,596,97858,69400,68804,41
